file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
10009.jpg;158;11;[[-27.38859940706489, -8.39148497101312, 20562.844366888166], [-4.113758478935198, -12.35514671502191, 7874.227186415342], [-0.004424902476680886, -0.010568899355388801, 1.0]];[[2.1504769120704656e-07, -1.9460020967424647e-06, 0.00044214333245674506], [8.619515272004388e-07, 1.6572488423735476e-06, -0.003045091623752167], [-0.000895752790151542, 0.0025270708114721197, 1.0]];2277;44;[[1.2683023562154327, -0.25912173808731065, 253.8970478787357], [0.10285740021702124, 0.9040958940213254, -295.6200954259993], [0.00016274592008239848, -0.00021982798589319282, 1.0]];[[4.0636475578495495e-07, 9.472925332669473e-07, -0.003830120492573021], [-1.5384533580374255e-06, 1.6601805169317214e-07, 0.002569379328784386], [0.003446346781902281, -0.0017588103209965752, -1.3459441947381805]];256;407;21;[[0.5156859308198105, -0.9304282274147196, 865.3421506518177], [0.22800896851030616, 0.5002209517333763, -279.1660297312668], [-9.19759516847412e-05, -0.0005101460991226119, 1.0]];[[6.024091457024559e-07, -1.528334332687972e-06, -0.0003160247218901681], [1.503189553501676e-06, 1.0483009649333033e-06, -0.0015684233718980254], [-0.0011149991508325734, 0.00024104853698650583, 1.0]];258;69;[[1.3374115707118395, -0.40905350887450553, 261.8597937926709], [0.12302400987198542, 0.7834667995732544, -257.5516478965185], [0.00020162031120100546, -0.00026743425819095314, 1.0]];[[4.460008347094586e-07, -3.1604290430951394e-06, -0.0011084792172417134], [1.9418237051372834e-06, 4.641674468232273e-07, -0.0017105577496330008], [-6.588518017982407e-05, 0.0018425018897137884, 0.4650603227506872]];261;374;26;[[1.6716471141664908, -0.1247224314306958, 328.0993280887262], [0.5854456891178575, 1.2530561345722755, -801.3046769648697], [0.0003005827647419246, 0.000111725477044362, 0.9999999999999999]];[[1.6303582286521173e-06, -3.988460386543932e-06, -0.0014840029980320185], [3.2021776152821397e-06, 7.234082325972735e-07, -0.0018697583132114021], [-0.0017168204009797622, 0.0006985340671252811, 1.1351201598138476]];253;42;[[0.8314865081802995, 0.14990940694961338, 338.8442580871465], [0.08635072662156204, 0.8880901065056137, -300.58756260333587], [-7.326070677414787e-05, 6.48106241943647e-05, 1.0]];[[5.385034661532068e-07, -3.648476642512389e-06, 0.000910804104234942], [3.926657408193662e-06, -6.115738600267684e-07, -0.001639636007843794], [-0.0028544720401418983, 0.00031836149297457064, 1.2321417001287696]];259
10034.jpg;143;3;;;317;26;[[1.5813982704828444, -0.22171185026575807, -228.17653190623471], [0.1344488657106611, 1.144339651056536, -272.1212654864513], [0.00022792885809331314, -0.00012338284313392854, 1.0]];[[7.949724177004675e-08, -3.2410029835180677e-06, 0.001329743140896273], [3.250321477912474e-06, 2.1304349257956252e-07, -0.005690967995958394], [-0.0019389018508079504, 0.005165233079157503, 1.0]];247;362;25;[[1.503275166542388, -0.6334295840611921, 217.59503505919594], [0.5075070442254798, 1.0635056396318932, -524.9925443898863], [0.00024598442992661686, -9.581024473919554e-05, 1.0]];[[3.8432517120739687e-07, -6.032614821448648e-07, -0.0008874144018202728], [7.88536424049119e-07, 3.1614022806256657e-07, -0.0019434615036629582], [-0.000461969894295335, 0.0015696930446027755, 1.0]];249;46;[[1.0467077006479841, -0.13020369442802893, 47.37242178881067], [0.05156327271102328, 0.9154636802168756, -138.90440933943438], [2.6223487359947534e-05, -8.598808142543979e-05, 1.0]];[[7.799972060367316e-08, -1.6477678929994342e-06, -0.005432428712306446], [9.718590815572444e-07, -9.184865183996964e-07, -0.008950847574513995], [0.0048828709750649655, 0.010735426398112865, 1.0]];257;357;14;[[1.2496802302770653, -0.14152362311122535, 171.21770489149984], [0.436392340879196, 1.1467938192945584, -523.7768151014695], [7.180902033462913e-05, 0.00014885337783277403, 1.0]];[[5.176031502606959e-07, -1.5194186635910558e-06, -6.951306302592237e-05], [1.4713641050653201e-06, 5.492207625984482e-07, -0.0021179250003969326], [-0.00120954132639205, 0.001427215620731361, 1.0]];267;29;[[0.9599405995802003, -0.15470725964649337, 132.14343128145697], [0.028237336150323845, 0.9755963471589719, -153.14267870858723], [-5.564971639523062e-06, -7.271144725045648e-05, 1.0]];[[-4.81177281081899e-08, 2.735569201920279e-06, -0.0006165791826410177], [-2.678771825530986e-06, -7.321365782787688e-08, 0.0057992157436433335], [0.0010953109512711018, -0.005526409978049303, -0.9079723346415409]];306
10040.jpg;226;6;;;280;23;[[1.286177364163771, -0.35594978624370394, 120.47645003805256], [0.11657688736745814, 0.9032252697886077, -356.8812177506842], [0.00017907916702082768, -0.00024191279290250304, 1.0]];[[9.023342167046446e-07, -7.5441131458299975e-06, -0.00022570015731362622], [5.260930519447813e-06, 1.5625898528667522e-06, -0.0008310153674208455], [-0.0022902962065556843, 0.0007671101253502278, 0.3771833095385517]];251;342;6;;;264;17;[[1.122084800767023, 0.11675118265319394, -48.124429273661285], [0.06815629570064798, 0.7487392583837365, -162.463454524637], [3.1662192074306224e-05, 1.758192974617386e-05, 1.0]];[[6.944982107912361e-08, -4.686264239841426e-07, -0.0015668730399750217], [3.7744937974792835e-07, -2.182708176096003e-08, -0.0012225286409138273], [0.0012311179921608325, 0.0014156358787370236, 0.3069032235456257]];250;261;6;;;273;53;[[1.0059924640446671, -0.22509117066352646, 234.4003617868116], [0.06645728179528482, 0.9195743579258762, -344.1884317153686], [4.607910289153297e-05, -0.00013993628232381264, 1.0]];[[-4.945243836224808e-08, -1.0495149109930601e-08, 0.001101726783658037], [3.1340332016841303e-07, -3.780698043002197e-07, -0.0029823685809029082], [-0.001341431903693386, 0.002890786382775906, 1.3162009635038543]];272
10070.jpg;244;10;[[1.2000055346768728, -0.33201760103536293, 461.65810360471437], [0.4571132130427469, 1.00167954512129, -625.656537875645], [0.00014820533826181886, -5.132889188985069e-05, 1.0]];[[1.5123466136957281e-07, 5.104675446202802e-08, -0.0011992177740951398], [1.8505239585872088e-07, -9.181912908607853e-08, -0.0016660977364537858], [0.0001448875859318082, 0.001717225698049398, 1.0]];286;38;[[1.1309997960806923, -0.3909675395069053, 347.99628653699267], [0.09346042162057061, 0.8455015182989476, -286.0282165917781], [0.00011672818412709966, -0.00022620200568241922, 1.0]];[[2.2450711812452548e-07, 1.5678203236600512e-06, -0.003422830300531615], [-2.229143420028295e-06, 1.3119375217787282e-07, 0.0043991744301844875], [0.0038171016400856037, -0.003058219003065696, -2.1925637817022183]];265;328;6;;;279;19;[[1.4096460640293305, -0.005053763062414789, -0.9789273051865205], [0.11636837110862787, 1.1738846356609318, -438.95056368265665], [0.00016428410832558068, -5.810122252312475e-06, 1.0]];[[1.5871135496989474e-07, 1.7523728707718283e-06, -0.0026969347469470084], [-1.942825159456248e-06, 4.1006460971231685e-08, 0.003920429456548991], [0.002936057674233295, -0.0033466932414457384, -1.4782404787086365]];286;313;13;[[0.9277259598980936, -0.7454982453977644, 1104.8529905062335], [0.383381544988343, 1.029027629723129, -580.9937968752256], [-1.527172809253211e-05, 0.00010982177166571407, 1.0]];[[4.177533725190693e-07, -1.0121279018887649e-06, -0.00044333740927440975], [1.0975747988953805e-06, 9.356762843882216e-07, -0.001598702740629952], [-0.0007637279533631057, 0.00028037945736683785, 1.0]];256;40;[[1.2335838324880608, -0.20533683861723265, 163.09987998641205], [0.07717009050159325, 1.0034921824124996, -352.1721541391464], [8.96027465246574e-05, -0.00010083469429731924, 1.0]];[[-2.1071680618931544e-07, 3.7506227941823324e-07, 0.0025083105446039467], [-2.0415472921188578e-07, 7.928520315191464e-08, 0.001119321949813421], [-0.0017911827112395142, -0.0014796648376864936, -0.21662409919783476]];278
10100.jpg;255;6;;;286;5;;;262;308;3;;;284;6;;;264;339;1;;;275;19;[[1.4157788765363177, -0.18109445175847924, 167.92706390951247], [0.14257098616734978, 1.0064035918177228, -373.2278706367555], [0.00022453630330984448, -0.00018876239654659749, 1.0]];[[1.4060069618995049e-08, -3.049691312738785e-06, 0.0017300777713283445], [2.809204422905293e-06, 2.2673556170267876e-08, -0.002361460541886473], [-0.0023547622656540797, 0.0016958660151600543, 1.0]];272
10132.jpg;278;4;;;261;5;;;278;234;7;;;303;5;;;283;146;6;;;298;34;[[0.8202074466552502, -0.14208173673377217, 241.49279700675672], [0.004190030355590003, 0.8064563836974505, -232.497819367602], [-4.590893874025856e-05, -0.00013473860937072505, 1.0]];[[9.546575965750483e-08, -4.934699382316307e-06, 0.0013493593050355602], [4.9506081225498626e-06, 3.7427311055829427e-07, -0.0023672729637960613], [-0.0030212723343750773, 0.0013469917351554808, 1.0]];268
10162.jpg;186;8;[[-51.26969061953187, 2.1469560817333653, 3169.4967993214227], [-15.353955177053436, -29.143167654655336, 24166.807797405312], [-0.010788741749377257, -0.016392961451095745, 1.0]];[[-9.956051452076685e-08, -4.2136295631602893e-07, 0.001085365041587169], [-5.347796277150068e-08, 7.885891563257536e-07, -0.0014128828548437883], [-0.00039814018472521885, 1.3575805486426742e-05, 1.0]];288;4;;;299;346;20;[[0.7872929807411566, -0.5168746959694531, 677.4460854362513], [0.30616718069232823, 0.754449770613986, -443.787504092787], [-9.200858520117427e-06, -0.00018032888187503583, 1.0]];[[3.3605523407412457e-07, -8.506542035455872e-07, 0.00039604824786341336], [9.541111549055938e-07, 3.799712818678908e-07, -0.0011537334740783247], [-0.0013395406600235174, 0.00022697410966442122, 1.0]];295;13;[[1.5579424933533321, -0.4881941312983685, 67.5246634858234], [0.2044496635431923, 1.0276182407637828, -493.0079263975986], [0.00031361606797819947, -0.0003560768711656384, 0.9999999999999999]];[[2.470301441033198e-06, -2.2684241850548616e-05, 0.0033027575896360578], [2.2764025804674818e-05, 6.012417990442458e-07, -0.028993553481821203], [-0.015813875763159343, 0.023365054039638355, 13.399469374366163]];264;458;17;[[0.7774343360519835, -0.6399996817244741, 683.4111524898799], [0.26054988054687683, 0.627262897253468, -344.1539424218723], [-1.6094283222569494e-06, -0.00028547792339501086, 1.0]];[[8.97791489628475e-08, -2.833098567416301e-07, 0.002094422574376114], [1.2141682983799753e-06, -1.872488955494736e-07, -0.0030141338438294564], [-0.0033083442069868473, 0.0011524342769012813, 2.689977306964496]];259;24;[[0.9803159033873006, -0.03003668763753744, 265.85699198983554], [-0.00203063553598816, 1.0545036999030395, -320.19684919948156], [-7.1286767236798e-05, 0.00011866222364841158, 1.0]];[[0.9301107279970396, -18.933900289285333, 13230.596240370929], [16.76692554969908, 3.508000443856729, -25728.67759246738], [-18944.73560089679, 19358.636163096868, 11199040.131932884]];257
10193.jpg;314;15;[[0.6596169514536226, -0.3682666318475013, 638.0436625148446], [0.1855189859666462, 0.7638967376653814, -364.93489962138807], [-0.0001904233546711093, -0.00010233042533523065, 1.0]];[[4.4362178648113517e-07, -1.7937306801140866e-06, -0.00018061289739747417], [1.6534630418366352e-06, 5.605044584367817e-07, -0.0017818061354238435], [-0.0010954208653387195, 0.0008080902824422781, 1.0]];284;23;[[0.9784971970306096, -0.10389801159923959, 291.7812142879888], [0.003937642461150642, 0.9295134367007605, -249.77904354961152], [-1.93344215880372e-05, -0.00010198192126676525, 1.0]];[[-3.6498303118641084e-07, -7.026536425676986e-06, -0.002505461485162293], [5.035728100079645e-06, -1.1346422448940427e-06, -0.008005544615236814], [0.0018216712803507693, 0.00856509210205065, 1.0]];297;371;15;[[0.8101360857522382, -0.33422425653321197, 604.882230778856], [0.311526315353416, 0.8543850178865167, -454.66800220425705], [-0.00010605389427621921, -4.492910271314187e-05, 1.0]];[[4.1613273081328055e-07, -9.096319342557945e-07, 0.0005922463843651589], [9.157964309312357e-07, 2.937912136624459e-07, -0.0010570230884180407], [-0.0014929582488781268, 0.00022440416001702447, 1.0]];274;25;[[1.0808243622720322, -0.006357915400389822, 241.39548996934317], [0.04318275584506591, 0.9984866152626781, -283.61538891025515], [1.7771466608790512e-05, -7.171092234444406e-06, 1.0]];[[9.171232442052143e-09, 1.9156340032855472e-06, -0.00341185283974663], [-1.7645565297657552e-06, -1.3293857907953695e-08, 0.0015570122725313855], [0.003659428885479871, -0.001119412197044976, -1.1909452483382723]];255;802;47;[[0.9372896693158806, -0.5598382011105378, 756.0667933654078], [0.3171168547077142, 0.8421879319259081, -442.61746638537767], [1.6410470486612162e-06, -8.556734796682143e-05, 1.0]];[[-3.602723929423116e-07, 1.0612790239836493e-06, -0.001583603843509136], [-1.0689907340146078e-06, -8.591217639135534e-07, -0.000857821164179516], [0.0016093680888513025, 0.002706692497447077, -0.06290546323787183]];285;129;[[0.9277552510698963, -0.10776974818372381, 340.05403597605874], [0.011622170177157382, 0.9136561694724344, -242.59421093308865], [-2.1062873228343237e-05, -7.728858960226851e-05, 1.0]];[[2.8583625399253085e-08, -2.239333131313765e-06, 0.00016649420967695039], [2.1835756275124807e-06, 4.655489418662986e-09, -0.0034119541829350556], [-0.0008102141109094813, 0.002819319550883723, 1.0]];272
10225.jpg;331;13;[[1.047342486506949, -0.5360121804595571, 692.3960068828026], [0.4228905996229338, 0.8440090083409686, -516.6652864296126], [0.00010832473721374968, -0.00023013122532687062, 1.0]];[[4.192555256094407e-07, -9.535681379881172e-07, -0.0008727501989098497], [9.494073948734245e-07, 1.7239792513286527e-07, -0.0018420359986680071], [-0.000471880186312076, 0.00138059009151405, 1.0]];259;48;[[1.464079141363919, 0.02905215252174062, 179.55899150838002], [0.14670453391186244, 1.2756431489471523, -448.14368066192543], [0.00021334617351583172, 3.848713520805513e-06, 0.9999999999999999]];[[3.155287462986133e-07, -3.2179241353837898e-09, -0.001993117442096862], [4.6957804063221685e-07, 1.072876637376235e-08, -0.0029181474145488612], [0.0008935902316721417, 0.002106919002055652, 0.9091706827357591]];270;329;14;[[1.310970558905601, -0.46962810294357904, 378.3655608429762], [0.36531268125062727, 0.8133113533144614, -446.68268656909794], [2.4815428573608052e-05, -0.00011111380414304964, 1.0]];[[-1.5188053163614618e-06, 5.789904193148168e-06, 0.0017140013732605864], [-3.789707979559643e-06, -9.803736074513591e-07, 0.008992089957756574], [0.003285932979122818, -0.008697219583994099, -4.8786385618627275]];278;7;;;288;375;12;[[1.3074952440086673, -0.46254898501425745, 600.5377891404368], [0.4980160721024345, 0.9658604010677466, -603.4189292604462], [0.00021832912525961742, -0.00015581185437072706, 1.0]];[[-5.052974261383854e-07, 1.140903484005953e-06, 0.0003112263538724514], [-7.121267100074508e-07, -8.057312456245336e-07, -0.0011727655355994104], [-0.00019137774397588666, 0.0017534114889228576, 1.0]];280;102;[[1.0684413172771452, -0.13159658524065454, 395.55082755967476], [0.043300136239874554, 1.0047553407482117, -270.45204085291545], [6.729694823732716e-05, -9.053637178939455e-05, 1.0]];[[-1.5996043867716857e-07, 2.994438736095922e-07, 0.0021207372014261238], [-1.5847628581704605e-07, 3.6564675625290484e-08, 0.0006244592591137729], [-0.0018325703871078537, -0.0007566333386155727, 0.5252428587375122]];274
10229.jpg;489;25;[[1.0629525822304042, -0.4937536280665007, 439.8165727573952], [0.390090020511019, 0.8750250457289148, -545.6966187417489], [0.00010570184812288542, -0.0001816894255920851, 1.0]];[[1.4073102857983766e-06, -3.7299472912649314e-06, -0.00025858195153666773], [4.402535187588523e-06, 7.015013323733025e-07, -0.008765471622205243], [-0.005244239227587735, 0.006290536466543554, 5.857682253641853]];253;138;[[1.0582513317691769, 0.0015749363429524135, 52.220017589165465], [0.011089249507467078, 1.0630228293149353, -327.25537780909633], [-7.727576167924446e-06, 4.771773611094984e-06, 1.0]];[[-3.2905631929987604e-08, 4.366767729287088e-08, -0.002570390684508041], [1.0614599663386873e-07, -3.809428192078388e-08, 0.0005773157987946302], [0.0023904963206066356, -0.0006811979127612876, -0.26350212420861574]];263;328;12;[[2.56157359917694, -1.2678836161248488, -782.0477395320554], [0.6126541766753228, 0.8983035616199636, -781.6467969286266], [0.0003441851569419812, -0.000500487256953914, 1.0]];[[-1.892787265091618e-06, 8.003388857983807e-06, 0.00046925993596209903], [-4.658208248666608e-06, -1.0365594107001148e-06, 0.009914704733087485], [0.004983232815527725, -0.012059380102060216, -5.042852312822095]];261;31;[[0.9076138238760332, 0.00328388288178511, 67.13236128884826], [-0.017795518154596686, 0.8700099338040859, -206.52076311436693], [-6.827448220499915e-05, -5.903393607792081e-05, 0.9999999999999999]];[[1.176374771099173e-07, 4.641641799864643e-06, -4.1023069108007786e-06], [-4.0406342256222235e-06, 3.698173255746464e-07, 0.00550926917009719], [0.0008016039383506297, -0.005991086263484298, -1.2917592282140755]];264;659;44;[[0.866897435556857, -0.44242499344936065, 526.8253157262925], [0.30722179898125695, 0.8314800959686373, -456.329824416526], [1.4953319259367685e-05, -0.00013415329394363083, 0.9999999999999999]];[[3.905291930584595e-07, -1.1373006766150162e-06, 0.0007931322918411487], [1.2606770336603527e-06, 4.5891046634125647e-07, -0.0012060662508985363], [-0.0018111704080583445, 0.0001441981635238107, 1.0]];264;137;[[0.8406871695456373, -0.027925926408922736, 138.70550220771176], [-0.03226387448772633, 0.8463756752218086, -199.02189705837924], [-7.384306338458216e-05, -9.500083019757038e-05, 1.0]];[[4.9966342715783765e-08, 6.444960012536211e-07, 0.00047758900307336247], [-4.334163528442818e-07, 2.1015006593048794e-07, 0.0024129210574974844], [-0.0005099955127547165, -0.0027166320192063905, -0.5104340645294152]];281
