file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rotarcgis;F_rotarcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rotgoogle;F_rotgoogle;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rotgeoportal;F_rotgeoportal;time_rot_geoportal
13183.jpg;137;5;;;511;7;;;419;177;4;;;439;16;[[1.3356304806459272, 0.00974452750784707, -427.78691986699914], [0.15418269411098082, 1.1868334145824715, -460.45844318220423], [0.0001348294605822247, 9.995649336054342e-06, 1.0]];[[-9.861090084375034e-07, 3.960159891525749e-05, -0.03396201259220245], [-3.8757374037015866e-05, -1.0910404837940396e-06, 0.025557146274127494], [0.0437274792580427, -0.03241978251636709, 0.5560361454152698]];600;179;5;;;453;5;;;438
13240.jpg;159;6;;;432;6;;;444;185;5;;;444;2;;;437;187;5;;;441;4;;;432
13295.jpg;157;3;;;441;6;;;423;156;6;;;429;5;;;438;199;4;;;448;4;;;467
13352.jpg;156;4;;;439;4;;;431;176;4;;;441;4;;;434;212;6;;;508;5;;;440
13408.jpg;170;4;;;586;5;;;425;171;5;;;431;5;;;428;185;4;;;445;6;;;438
13465.jpg;134;4;;;443;4;;;461;184;6;;;445;8;[[-0.9431306698484166, -0.08295366947150501, 266.30490157086325], [-1.3466640523640334, -0.9987320851746042, 1039.0803631409603], [-0.0019440742885399763, -0.0009031399248571252, 1.0]];[[-5.093304495847374e-06, 1.0484700867354187e-05, -0.005638233503749809], [-6.847674842719329e-06, 1.1429757476400847e-06, 0.0009510769261820125], [0.007655336720037187, -0.004410411555287708, 1.0]];427;187;4;;;437;4;;;437
13522.jpg;163;4;;;446;4;;;438;184;4;;;445;5;;;430;192;4;;;507;4;;;434
13580.jpg;173;5;;;444;5;;;431;192;4;;;440;5;;;429;223;5;;;455;5;;;569
13634.jpg;173;4;;;448;4;;;433;180;5;;;447;5;;;458;189;4;;;436;4;;;425
13672.jpg;157;4;;;437;6;;;428;181;4;;;448;4;;;548;178;4;;;513;2;;;516
13796.jpg;150;5;;;451;4;;;434;158;4;;;440;4;;;432;167;5;;;445;4;;;425
13916.jpg;167;6;;;449;6;;;441;189;3;;;444;5;;;433;192;5;;;446;5;;;421
14030.jpg;187;4;;;444;4;;;432;198;4;;;447;3;;;436;204;5;;;442;5;;;429
14102.jpg;174;4;;;454;4;;;436;190;2;;;449;4;;;435;201;4;;;446;4;;;436
14143.jpg;185;5;;;454;3;;;432;190;1;;;436;4;;;433;206;4;;;447;5;;;433
14255.jpg;182;4;;;439;4;;;434;174;4;;;449;2;;;435;197;4;;;436;6;;;424
14374.jpg;161;4;;;447;2;;;447;202;3;;;449;26;[[1.117088247939159, -0.358251348175941, -208.88251692302669], [0.09735298155583294, 1.075251990162655, -494.24598221040776], [-9.127924838683637e-05, -0.0001888201931885893, 1.0]];[[-1.753036899581344e-07, 1.5296804008578021e-06, -0.0004965074158284657], [-1.3298263471650396e-06, 2.466089697170144e-07, 0.0035777432122335345], [0.0012656651157123334, -0.003372172240488002, -1.3762941286130541]];414;180;5;;;445;4;;;439
14494.jpg;188;4;;;454;6;;;429;204;5;;;444;5;;;435;201;5;;;443;4;;;438
14611.jpg;193;5;;;449;5;;;434;205;5;;;478;11;[[1.416220688766986, -0.30331206634739294, -178.87802864847743], [0.36269944330848447, 1.5597055847867036, -872.7756734526554], [-5.08239087197945e-05, 0.0001946345429075228, 1.0]];[[16.633573941467034, -79.70611002653526, 55691.795247858834], [77.0536610877709, 9.684421777216393, -106515.81530581492], [-94959.64938889796, 85221.81269039359, 37807160.73696655]];428;191;5;;;445;6;;;425
14723.jpg;196;5;;;490;6;;;431;224;2;;;474;4;;;434;220;5;;;445;5;;;432
14836.jpg;213;4;;;448;6;;;432;239;4;;;441;3;;;435;234;5;;;447;5;;;440
14951.jpg;226;5;;;446;5;;;425;251;5;;;486;5;;;432;223;6;;;438;3;;;425
15068.jpg;215;5;;;500;5;;;421;249;6;;;442;4;;;439;239;6;;;476;5;;;427
1516.jpg;157;6;;;441;5;;;428;219;9;[[-1.4967471013662494, -0.4835271757175405, 1837.1899447891435], [-0.5248459521563239, -0.2016427279161858, 681.1723514532316], [-0.0008125719202401026, -0.0002650378320968675, 1.0]];[[-0.13617593317982823, 2.921728219945768, -1657.6551418591698], [-2.2937400462570956, 1.4116327314514354, 2995.277744547675], [2786.3806886764723, -3952.6432204999637, -2191235.3808123134]];428;53;[[0.9916785907907592, -0.16361019889050807, 234.68773205338516], [-0.048511371065377694, 0.8082057971770072, -164.34811793817562], [3.8827251624696346e-05, -0.0002222651099797785, 1.0]];[[0.07803861705098261, 1.0001888190529913, -772.3374583200708], [-0.9778310980870255, 0.08331843554514806, 1209.8374102320481], [851.4693897397547, -1088.6414592665508, -371501.75230334466]];413;183;5;;;441;5;;;432
15185.jpg;225;2;;;454;4;;;470;278;6;;;449;4;;;444;251;6;;;433;4;;;432
15304.jpg;249;3;;;448;4;;;428;299;4;;;440;6;;;447;266;3;;;485;4;;;432
